Date,Open,High,Low,Close
08/06/2021,"35,077.44","35,246.79","35,077.44","35,208.51"
08/05/2021,"34,815.61","35,067.54","34,815.61","35,064.25"
08/04/2021,"35,047.44","35,047.44","34,790.62","34,792.67"
08/03/2021,"34,864.10","35,120.94","34,714.33","35,116.40"
08/02/2021,"34,968.56","35,192.11","34,808.20","34,838.16"
07/30/2021,"35,013.26","35,106.30","34,871.13","34,935.47"
07/29/2021,"34,985.99","35,171.52","34,985.99","35,084.53"
07/28/2021,"35,109.95","35,116.37","34,876.84","34,930.93"
07/27/2021,"35,078.90","35,078.90","34,878.07","35,058.52"
07/26/2021,"35,055.86","35,150.37","34,950.19","35,144.31"
07/23/2021,"34,855.11","35,095.33","34,855.11","35,061.55"
07/22/2021,"34,799.68","34,879.28","34,673.03","34,823.35"
07/21/2021,"34,556.96","34,820.24","34,556.96","34,798.00"
07/20/2021,"33,981.79","34,621.79","33,981.79","34,511.99"
07/19/2021,"34,528.48","34,528.48","33,741.76","33,962.04"
07/16/2021,"35,007.94","35,090.01","34,647.82","34,687.85"
07/15/2021,"34,924.81","34,990.41","34,762.87","34,987.02"
07/14/2021,"34,920.83","35,069.18","34,826.87","34,933.23"
07/13/2021,"34,959.96","35,018.79","34,876.89","34,888.79"
07/12/2021,"34,836.75","35,014.90","34,730.15","34,996.18"
07/09/2021,"34,457.51","34,893.72","34,457.51","34,870.16"
07/08/2021,"34,569.01","34,569.01","34,145.59","34,421.93"
07/07/2021,"34,604.17","34,708.78","34,435.59","34,681.79"
07/06/2021,"34,790.16","34,814.20","34,358.42","34,577.37"
07/02/2021,"34,642.42","34,821.93","34,613.49","34,786.35"
07/01/2021,"34,507.32","34,640.28","34,498.85","34,633.53"
