Date,Open,High,Low,Close,Volume
08/06/2021,"73.35","73.35","73.08","73.09","16,538"
08/05/2021,"73.54","73.66","73.54","73.61","6,997"
08/04/2021,"73.75","73.78","73.28","73.32","49,286"
08/03/2021,"73.18","73.51","73.18","73.51","4,122"
08/02/2021,"73.18","73.33","73.13","73.15","2,446"
07/30/2021,"73.20","73.26","72.89","72.94","5,417"
07/29/2021,"73.35","73.64","73.35","73.54","6,710"
07/28/2021,"72.88","73.31","72.80","73.27","6,183"
07/27/2021,"73.11","73.23","73.05","73.18","2,281"
07/26/2021,"73.16","73.43","73.16","73.37","9,724"
07/23/2021,"73.39","73.39","73.17","73.24","1,993"
07/22/2021,"73.24","73.42","73.11","73.39","10,236"
07/21/2021,"72.73","73.16","72.73","73.15","7,748"
07/20/2021,"72.57","72.90","72.57","72.86","17,551"
07/19/2021,"73.10","73.10","72.77","72.88","23,527"
07/16/2021,"73.78","73.78","73.46","73.47","27,738"
07/15/2021,"74.00","74.02","73.69","73.75","10,155"
07/14/2021,"74.38","74.38","74.22","74.33","14,754"
07/13/2021,"74.24","74.30","73.99","74.00","4,899"
07/12/2021,"74.22","74.36","74.22","74.36","6,533"
07/09/2021,"74.29","74.51","74.27","74.51","8,211"
07/08/2021,"74.00","74.01","73.80","73.85","17,037"
07/07/2021,"74.68","74.68","74.25","74.39","37,602"
07/06/2021,"75.10","75.10","74.46","74.51","11,751"
07/02/2021,"74.39","74.89","74.39","74.84","8,559"
07/01/2021,"74.55","74.55","74.16","74.23","26,276"
