Date,Open,High,Low,Close,Volume
08/06/2021,"133.95","133.95","133.65","133.78","5,294"
08/05/2021,"134.19","134.37","134.19","134.27","3,026"
08/04/2021,"134.10","134.11","133.87","133.87","16,385"
08/03/2021,"134.17","134.17","134.15","134.16","2,795"
08/02/2021,"133.93","134.10","133.78","133.89","5,050"
07/30/2021,"134.45","134.53","133.89","133.99","21,361"
07/29/2021,"134.58","134.77","134.58","134.64","6,832"
07/28/2021,"133.65","134.11","133.60","134.07","8,705"
07/27/2021,"133.29","133.93","133.17","133.85","6,869"
07/26/2021,"133.26","133.34","133.20","133.25","7,525"
07/23/2021,"132.71","132.71","132.55","132.55","5,869"
07/22/2021,"132.73","132.86","132.53","132.71","5,674"
07/21/2021,"131.49","132.28","131.49","132.28","9,655"
07/20/2021,"131.07","131.40","131.07","131.40","17,905"
07/19/2021,"132.32","132.32","131.65","131.76","24,630"
07/16/2021,"133.22","133.22","132.57","132.67","10,391"
07/15/2021,"133.54","133.66","133.11","133.25","14,742"
07/14/2021,"133.88","133.93","133.56","133.60","8,343"
07/13/2021,"133.38","133.48","133.15","133.16","10,252"
07/12/2021,"133.65","134.02","133.65","133.85","10,417"
07/09/2021,"133.56","133.94","133.36","133.94","14,331"
07/08/2021,"132.92","132.93","132.63","132.91","12,922"
07/07/2021,"133.18","133.20","132.67","133.07","10,960"
07/06/2021,"133.35","133.48","132.84","133.05","189,249"
07/02/2021,"132.75","133.44","132.75","133.43","5,079"
07/01/2021,"133.00","133.00","132.62","132.65","9,505"
