Date,Open,High,Low,Close,Volume
08/06/2021,"78.32","78.32","78.04","78.12","17,085"
08/05/2021,"78.41","78.60","78.41","78.48","53,888"
08/04/2021,"78.22","78.27","78.16","78.17","163,893"
08/03/2021,"78.22","78.27","78.02","78.27","7,069"
08/02/2021,"78.69","78.78","78.40","78.43","5,933"
07/30/2021,"78.93","78.95","78.58","78.63","12,156"
07/29/2021,"78.64","78.92","78.64","78.82","32,490"
07/28/2021,"77.91","78.33","77.91","78.29","22,062"
07/27/2021,"78.10","78.10","77.89","77.89","11,791"
07/26/2021,"78.07","78.29","78.07","78.23","6,612"
07/23/2021,"78.07","78.08","77.91","78.07","8,307"
07/22/2021,"78.20","78.20","77.95","78.09","32,348"
07/21/2021,"77.64","78.17","77.64","78.09","31,003"
07/20/2021,"76.86","77.39","76.86","77.39","51,702"
07/19/2021,"77.04","77.07","76.80","77.00","71,575"
07/16/2021,"78.03","78.03","77.79","77.83","43,420"
07/15/2021,"78.16","78.28","77.82","77.89","100,101"
07/14/2021,"78.80","78.96","78.41","78.46","41,381"
07/13/2021,"78.34","78.47","78.34","78.40","23,180"
07/12/2021,"78.54","78.80","78.54","78.80","18,125"
07/09/2021,"78.52","78.86","78.52","78.86","178,847"
07/08/2021,"78.21","78.39","78.15","78.28","40,857"
07/07/2021,"78.87","78.87","78.40","78.59","36,361"
07/06/2021,"79.15","79.15","78.57","78.76","31,873"
07/02/2021,"79.21","79.73","79.21","79.64","35,972"
07/01/2021,"79.31","79.31","78.86","78.90","17,635"
