Date,Open,High,Low,Close,Volume
08/06/2021,"110.00","110.00","109.73","109.76","23,935"
08/05/2021,"110.55","110.57","110.47","110.49","16,259"
08/04/2021,"111.09","111.10","110.51","110.52","35,381"
08/03/2021,"110.88","110.89","110.71","110.81","24,927"
08/02/2021,"110.91","111.00","110.81","110.86","24,622"
07/30/2021,"110.93","110.99","110.69","110.78","74,318"
07/29/2021,"110.91","111.06","110.91","111.03","67,211"
07/28/2021,"110.14","110.66","110.00","110.65","37,379"
07/27/2021,"110.41","110.57","110.28","110.39","24,100"
07/26/2021,"110.08","110.35","110.08","110.26","31,746"
07/23/2021,"109.92","109.98","109.80","109.94","55,547"
07/22/2021,"110.47","110.47","109.84","109.95","18,140"
07/21/2021,"109.90","110.25","109.88","110.23","21,123"
07/20/2021,"109.84","110.08","109.81","110.05","24,266"
07/19/2021,"110.34","110.43","110.18","110.18","28,964"
07/16/2021,"110.30","110.35","110.21","110.24","21,739"
07/15/2021,"110.39","110.41","110.21","110.34","12,772"
07/14/2021,"110.41","110.60","110.35","110.55","30,254"
07/13/2021,"110.26","110.51","109.98","109.98","46,227"
07/12/2021,"110.81","110.88","110.72","110.79","20,740"
07/09/2021,"110.89","110.99","110.80","110.97","51,824"
07/08/2021,"110.78","110.88","110.59","110.69","56,005"
07/07/2021,"110.34","110.40","110.12","110.20","30,623"
07/06/2021,"110.57","110.63","110.33","110.48","31,004"
07/02/2021,"110.62","110.97","110.55","110.86","91,305"
07/01/2021,"110.95","110.95","110.67","110.74","40,722"
