Date,Open,High,Low,Close,Volume
08/06/2021,"99.28","99.31","98.82","98.89","11,889"
08/05/2021,"99.85","99.89","99.71","99.84","25,699"
08/04/2021,"100.32","100.32","99.75","99.86","19,579"
08/03/2021,"100.12","100.15","100.04","100.12","18,949"
08/02/2021,"99.96","100.15","99.94","99.98","13,013"
07/30/2021,"99.91","99.95","99.80","99.94","16,382"
07/29/2021,"99.72","99.96","99.69","99.93","52,619"
07/28/2021,"98.81","99.45","98.79","99.44","13,542"
07/27/2021,"99.01","99.10","98.85","99.02","20,156"
07/26/2021,"98.48","98.90","98.48","98.82","15,543"
07/23/2021,"98.34","98.44","98.25","98.42","9,254"
07/22/2021,"98.78","98.82","98.38","98.48","8,748"
07/21/2021,"98.18","98.71","98.18","98.68","11,133"
07/20/2021,"98.23","98.30","98.14","98.26","28,584"
07/19/2021,"98.70","98.78","98.58","98.59","33,523"
07/16/2021,"98.52","98.55","98.43","98.46","19,326"
07/15/2021,"98.68","98.76","98.53","98.68","13,891"
07/14/2021,"98.74","99.05","98.74","99.04","17,738"
07/13/2021,"98.57","98.88","98.55","98.56","19,750"
07/12/2021,"98.96","99.02","98.88","98.94","7,583"
07/09/2021,"98.94","99.11","98.85","99.11","8,870"
07/08/2021,"98.93","99.15","98.85","98.99","44,033"
07/07/2021,"97.90","97.98","97.73","97.85","16,615"
07/06/2021,"98.07","98.07","97.90","97.99","15,892"
07/02/2021,"97.90","98.44","97.90","98.36","18,208"
07/01/2021,"97.99","98.02","97.77","97.84","38,587"
