Date,Open,High,Low,Close,Volume
08/06/2021,"85.40","85.40","85.25","85.38","29,917"
08/05/2021,"85.77","85.78","85.70","85.75","14,674"
08/04/2021,"86.52","86.52","85.81","85.98","14,247"
08/03/2021,"86.35","86.41","86.20","86.30","12,427"
08/02/2021,"85.99","86.17","85.93","86.11","19,299"
07/30/2021,"85.76","85.80","85.67","85.79","57,295"
07/29/2021,"85.74","85.99","85.74","85.95","12,895"
07/28/2021,"85.44","85.68","85.36","85.68","23,774"
07/27/2021,"85.64","85.84","85.61","85.80","10,536"
07/26/2021,"85.20","85.32","85.20","85.25","5,763"
07/23/2021,"85.15","85.17","85.10","85.11","53,783"
07/22/2021,"85.44","85.47","85.39","85.45","18,844"
07/21/2021,"85.35","85.37","85.29","85.36","37,431"
07/20/2021,"85.94","85.95","85.58","85.73","53,104"
07/19/2021,"86.10","86.30","85.92","85.99","32,694"
07/16/2021,"85.37","85.56","85.37","85.55","80,567"
07/15/2021,"85.61","85.74","85.53","85.71","25,915"
07/14/2021,"85.50","85.64","85.50","85.63","25,689"
07/13/2021,"85.24","85.33","85.07","85.12","10,938"
07/12/2021,"85.43","85.44","85.29","85.32","97,235"
07/09/2021,"85.61","85.61","85.41","85.50","12,339"
07/08/2021,"85.79","85.92","85.67","85.77","30,876"
07/07/2021,"85.04","85.14","84.96","85.12","27,253"
07/06/2021,"84.93","85.13","84.93","85.10","15,052"
07/02/2021,"84.52","84.84","84.52","84.76","11,393"
07/01/2021,"84.51","84.52","84.31","84.37","21,384"
