Date,Open,High,Low,Close,Volume
08/06/2021,"165.84","165.93","164.55","164.64","13,547,640"
08/05/2021,"169.37","169.44","168.20","168.86","7,893,245"
08/04/2021,"171.28","171.40","168.99","169.53","9,796,349"
08/03/2021,"169.42","169.83","169.21","169.49","5,402,340"
08/02/2021,"169.30","170.25","169.10","169.61","10,783,240"
07/30/2021,"170.72","170.99","169.38","169.82","7,391,706"
07/29/2021,"170.70","171.52","170.67","171.17","8,119,591"
07/28/2021,"168.26","169.38","167.72","169.29","7,905,846"
07/27/2021,"168.73","168.91","167.93","168.44","6,300,183"
07/26/2021,"168.58","168.86","168.08","168.16","5,229,817"
07/23/2021,"168.50","168.88","167.95","168.56","5,831,463"
07/22/2021,"168.49","169.19","168.06","169.09","4,793,605"
07/21/2021,"168.33","169.00","168.14","168.76","4,622,581"
07/20/2021,"170.51","170.80","168.92","169.39","6,540,058"
07/19/2021,"169.51","169.91","168.89","169.61","6,707,365"
07/16/2021,"170.65","170.95","169.28","169.41","9,460,348"
07/15/2021,"170.89","171.30","170.34","171.07","6,520,126"
07/14/2021,"170.91","171.04","170.28","171.04","8,830,335"
07/13/2021,"169.51","169.90","168.93","169.22","7,040,277"
07/12/2021,"168.70","169.16","167.64","169.00","7,315,422"
07/09/2021,"168.84","169.62","168.66","169.21","4,997,398"
07/08/2021,"169.82","169.86","167.91","168.65","7,244,275"
07/07/2021,"168.72","169.23","168.19","168.76","7,108,909"
07/06/2021,"169.27","169.65","167.54","168.12","7,932,050"
07/02/2021,"167.35","167.72","166.40","167.29","7,873,574"
07/01/2021,"166.65","166.88","165.50","166.20","7,430,497"
