Date,Open,High,Low,Close,Volume
08/06/2021,"26.80","26.82","26.77","26.77","3,778,656"
08/05/2021,"26.93","26.95","26.89","26.91","4,632,784"
08/04/2021,"27.01","27.04","26.90","26.97","4,336,921"
08/03/2021,"26.96","27.00","26.95","26.97","3,853,241"
08/02/2021,"26.90","27.00","26.88","26.96","4,522,591"
07/30/2021,"26.87","26.91","26.87","26.89","3,978,569"
07/29/2021,"26.85","26.88","26.83","26.86","3,173,569"
07/28/2021,"26.84","26.90","26.82","26.89","19,899,480"
07/27/2021,"26.87","26.90","26.86","26.86","5,879,470"
07/26/2021,"26.85","26.86","26.80","26.80","18,230,160"
07/23/2021,"26.79","26.84","26.79","26.84","56,415,871"
07/22/2021,"26.80","26.90","26.80","26.88","4,067,076"
07/21/2021,"26.83","26.84","26.77","26.81","3,028,929"
07/20/2021,"27.04","27.05","26.90","26.92","3,918,682"
07/19/2021,"26.92","27.00","26.92","26.95","3,959,289"
07/16/2021,"26.73","26.79","26.72","26.78","1,809,115"
07/15/2021,"26.77","26.81","26.72","26.80","3,377,547"
07/14/2021,"26.66","26.72","26.66","26.71","2,547,308"
07/13/2021,"26.70","26.73","26.60","26.63","3,868,260"
07/12/2021,"26.74","26.74","26.68","26.70","2,224,539"
07/09/2021,"26.74","26.74","26.70","26.71","3,942,803"
07/08/2021,"26.82","26.86","26.80","26.83","4,067,360"
07/07/2021,"26.73","26.80","26.72","26.77","4,700,929"
07/06/2021,"26.62","26.72","26.62","26.71","4,422,831"
07/02/2021,"26.56","26.61","26.54","26.54","1,760,139"
07/01/2021,"26.54","26.55","26.50","26.53","2,542,566"
