Date,Open,High,Low,Close,Volume
08/06/2021,"21.86","21.87","21.74","21.74","10,568"
08/05/2021,"22.22","22.31","22.22","22.24","3,934"
08/04/2021,"22.38","22.42","22.15","22.41","48,580"
08/03/2021,"22.35","22.41","22.29","22.33","23,564"
08/02/2021,"22.12","22.43","22.12","22.31","6,055"
07/30/2021,"22.11","22.12","22.06","22.06","10,261"
07/29/2021,"21.97","22.02","21.95","22.00","8,026"
07/28/2021,"21.94","22.10","21.87","22.10","13,114"
07/27/2021,"22.09","22.11","22.00","22.11","3,420"
07/26/2021,"21.95","21.95","21.75","21.80","6,588"
07/23/2021,"21.88","21.91","21.86","21.90","12,276"
07/22/2021,"21.81","22.10","21.81","22.10","6,815"
07/21/2021,"21.81","21.86","21.74","21.78","20,470"
07/20/2021,"22.75","22.75","22.15","22.21","16,274"
07/19/2021,"22.43","22.63","22.37","22.54","273,939"
07/16/2021,"21.77","21.84","21.77","21.83","7,033"
07/15/2021,"21.77","21.91","21.60","21.90","6,809"
07/14/2021,"21.49","21.56","21.46","21.56","2,810"
07/13/2021,"21.53","21.66","21.14","21.22","24,209"
07/12/2021,"21.60","21.62","21.40","21.45","25,058"
07/09/2021,"21.74","21.74","21.49","21.49","25,703"
07/08/2021,"22.06","22.12","21.86","21.94","22,109"
07/07/2021,"21.71","21.93","21.67","21.81","13,848"
07/06/2021,"21.36","21.57","21.36","21.52","36,573"
07/02/2021,"21.03","21.18","21.01","21.18","14,833"
07/01/2021,"21.02","21.02","20.90","21.01","15,821"
