Date,Open,High,Low,Close,Volume
08/06/2021,"117.14","117.25","117.00","117.03","7,807,589"
08/05/2021,"117.90","117.96","117.64","117.72","5,164,636"
08/04/2021,"118.53","118.63","117.78","118.15","7,545,049"
08/03/2021,"118.18","118.37","118.12","118.18","6,627,309"
08/02/2021,"117.82","118.38","117.71","118.15","19,495,779"
07/30/2021,"117.58","117.78","117.57","117.71","5,656,386"
07/29/2021,"117.31","117.53","117.28","117.38","6,203,823"
07/28/2021,"117.42","117.75","117.26","117.74","11,533,480"
07/27/2021,"117.62","117.71","117.51","117.64","8,621,186"
07/26/2021,"117.40","117.42","117.12","117.14","6,179,619"
07/23/2021,"116.98","117.25","116.97","117.22","6,804,597"
07/22/2021,"117.13","117.64","117.12","117.40","6,363,507"
07/21/2021,"117.33","117.41","117.02","117.13","7,438,310"
07/20/2021,"118.47","118.52","117.71","117.81","8,728,991"
07/19/2021,"117.74","118.11","117.68","117.96","20,557,529"
07/16/2021,"116.67","116.98","116.66","116.96","3,577,861"
07/15/2021,"116.79","117.04","116.53","116.98","5,704,529"
07/14/2021,"116.31","116.52","116.21","116.49","6,029,153"
07/13/2021,"116.41","116.53","115.89","115.99","6,926,475"
07/12/2021,"116.51","116.56","116.26","116.35","3,867,702"
07/09/2021,"116.52","116.54","116.40","116.41","5,531,190"
07/08/2021,"116.92","117.19","116.82","117.00","7,367,979"
07/07/2021,"116.58","116.91","116.47","116.70","7,456,447"
07/06/2021,"115.89","116.44","115.89","116.36","9,095,292"
07/02/2021,"115.47","115.75","115.44","115.75","5,071,881"
07/01/2021,"115.38","115.45","115.17","115.33","11,966,220"
