Date,Open,High,Low,Close,Volume
08/06/2021,"131.28","131.33","131.22","131.23","538,372"
08/05/2021,"131.65","131.67","131.49","131.57","1,051,042"
08/04/2021,"132.17","132.23","131.69","131.86","738,185"
08/03/2021,"131.95","132.07","131.93","131.96","510,332"
08/02/2021,"131.76","132.04","131.73","131.93","571,017"
07/30/2021,"131.68","131.77","131.66","131.74","605,347"
07/29/2021,"131.48","131.62","131.46","131.52","506,718"
07/28/2021,"131.55","131.72","131.39","131.71","1,150,780"
07/27/2021,"131.67","131.73","131.61","131.65","567,373"
07/26/2021,"131.57","131.59","131.47","131.48","350,972"
07/23/2021,"131.38","131.56","131.38","131.52","461,482"
07/22/2021,"131.40","131.66","131.40","131.56","734,438"
07/21/2021,"131.52","131.59","131.39","131.40","772,150"
07/20/2021,"132.01","132.04","131.66","131.74","735,060"
07/19/2021,"131.56","131.82","131.53","131.66","1,126,744"
07/16/2021,"130.96","131.20","130.95","131.16","840,188"
07/15/2021,"131.13","131.23","130.97","131.19","680,666"
07/14/2021,"130.93","131.05","130.89","131.04","432,464"
07/13/2021,"130.91","130.97","130.71","130.74","978,529"
07/12/2021,"131.11","131.13","130.93","131.01","479,213"
07/09/2021,"131.13","131.15","131.04","131.07","669,438"
07/08/2021,"131.24","131.43","131.19","131.34","907,141"
07/07/2021,"130.99","131.15","130.93","131.10","987,349"
07/06/2021,"130.67","131.05","130.67","130.98","1,112,305"
07/02/2021,"130.50","130.64","130.47","130.63","322,897"
07/01/2021,"130.44","130.47","130.30","130.39","493,251"
