Date,Open,High,Low,Close
08/06/2021,"2,706.17","2,731.21","2,706.17","2,717.36"
08/05/2021,"2,681.31","2,709.69","2,681.31","2,706.17"
08/04/2021,"2,708.88","2,710.53","2,681.25","2,681.31"
08/03/2021,"2,692.01","2,709.24","2,670.69","2,708.88"
08/02/2021,"2,703.67","2,743.40","2,690.31","2,692.01"
07/30/2021,"2,706.43","2,726.14","2,693.84","2,703.67"
07/29/2021,"2,679.71","2,722.65","2,679.71","2,706.43"
07/28/2021,"2,660.58","2,694.01","2,645.47","2,679.71"
07/27/2021,"2,675.93","2,675.93","2,643.23","2,660.58"
07/26/2021,"2,672.74","2,690.32","2,669.01","2,675.93"
07/23/2021,"2,649.63","2,674.55","2,648.74","2,672.74"
07/22/2021,"2,674.30","2,674.30","2,637.82","2,649.63"
07/21/2021,"2,642.18","2,685.82","2,642.18","2,674.30"
07/20/2021,"2,571.03","2,656.27","2,571.03","2,642.18"
07/19/2021,"2,616.96","2,616.96","2,550.62","2,571.03"
07/16/2021,"2,648.54","2,662.81","2,614.88","2,616.96"
07/15/2021,"2,656.43","2,659.00","2,628.69","2,648.54"
07/14/2021,"2,671.76","2,698.32","2,652.53","2,656.43"
07/13/2021,"2,713.39","2,713.39","2,671.31","2,671.76"
07/12/2021,"2,706.42","2,716.37","2,688.91","2,713.39"
07/09/2021,"2,648.43","2,707.46","2,648.43","2,706.42"
07/08/2021,"2,682.81","2,682.81","2,618.78","2,648.43"
07/07/2021,"2,679.90","2,694.15","2,657.09","2,682.81"
07/06/2021,"2,709.57","2,709.57","2,657.94","2,679.90"
07/02/2021,"2,717.42","2,721.32","2,701.49","2,709.57"
07/01/2021,"2,696.12","2,725.45","2,696.12","2,717.04"
