Date,Open,High,Low,Close
08/06/2021,"15,125.74","15,162.34","15,063.02","15,109.36"
08/05/2021,"15,105.40","15,184.27","15,083.84","15,181.64"
08/04/2021,"15,059.17","15,117.38","15,017.14","15,083.39"
08/03/2021,"14,997.20","15,063.66","14,864.53","15,061.42"
08/02/2021,"15,046.10","15,059.89","14,945.13","14,963.62"
07/30/2021,"14,882.39","14,990.86","14,882.39","14,959.90"
07/29/2021,"15,015.30","15,091.96","15,004.42","15,048.36"
07/28/2021,"15,005.17","15,078.85","14,913.55","15,018.10"
07/27/2021,"15,103.01","15,107.74","14,787.81","14,956.97"
07/26/2021,"15,088.28","15,142.35","15,048.23","15,125.95"
07/23/2021,"15,004.43","15,125.84","14,948.04","15,111.79"
07/22/2021,"14,865.47","14,941.38","14,865.47","14,940.17"
07/21/2021,"14,723.67","14,843.17","14,710.11","14,842.63"
07/20/2021,"14,601.34","14,790.60","14,530.78","14,728.21"
07/19/2021,"14,517.96","14,578.96","14,455.07","14,549.09"
07/16/2021,"14,842.08","14,875.97","14,667.10","14,681.38"
07/15/2021,"14,903.49","14,907.51","14,717.55","14,794.69"
07/14/2021,"14,984.86","15,001.13","14,871.73","14,900.44"
07/13/2021,"14,871.04","15,002.28","14,843.80","14,874.54"
07/12/2021,"14,878.71","14,899.46","14,813.79","14,877.89"
07/09/2021,"14,709.33","14,838.72","14,685.54","14,826.09"
07/08/2021,"14,577.67","14,763.67","14,551.76","14,722.14"
07/07/2021,"14,889.76","14,891.19","14,735.75","14,810.54"
07/06/2021,"14,755.15","14,797.45","14,635.31","14,786.36"
07/02/2021,"14,633.51","14,738.14","14,626.82","14,727.63"
07/01/2021,"14,530.63","14,576.65","14,483.43","14,560.05"
