Date,Open,High,Low,Close
08/06/2021,"2,237.09","2,258.32","2,235.58","2,247.76"
08/05/2021,"2,198.17","2,236.19","2,198.17","2,236.01"
08/04/2021,"2,220.67","2,223.11","2,195.37","2,196.32"
08/03/2021,"2,216.25","2,223.60","2,189.76","2,223.58"
08/02/2021,"2,228.03","2,256.44","2,212.45","2,215.50"
07/30/2021,"2,238.91","2,251.37","2,219.95","2,226.25"
07/29/2021,"2,193.16","2,256.97","2,190.67","2,240.03"
07/28/2021,"2,193.16","2,237.04","2,190.67","2,224.96"
07/27/2021,"2,215.64","2,215.64","2,171.37","2,191.83"
07/26/2021,"2,210.11","2,232.22","2,207.54","2,216.92"
07/23/2021,"2,201.03","2,212.31","2,186.51","2,209.65"
07/22/2021,"2,233.78","2,233.78","2,192.98","2,199.48"
07/21/2021,"2,195.75","2,236.94","2,195.75","2,234.04"
07/20/2021,"2,131.79","2,206.63","2,131.79","2,194.30"
07/19/2021,"2,159.71","2,159.71","2,107.07","2,130.68"
07/16/2021,"2,191.87","2,210.51","2,160.53","2,163.24"
07/15/2021,"2,201.27","2,202.75","2,166.33","2,190.29"
07/14/2021,"2,240.25","2,254.81","2,201.23","2,202.36"
07/13/2021,"2,280.49","2,280.49","2,238.37","2,238.86"
07/12/2021,"2,279.63","2,283.46","2,262.26","2,281.83"
07/09/2021,"2,234.83","2,280.01","2,234.83","2,280.01"
07/08/2021,"2,249.94","2,252.72","2,192.98","2,231.68"
07/07/2021,"2,274.53","2,278.10","2,235.50","2,252.85"
07/06/2021,"2,305.96","2,306.91","2,256.97","2,274.50"
07/02/2021,"2,328.53","2,332.95","2,302.94","2,305.76"
07/01/2021,"2,312.57","2,332.28","2,312.57","2,329.36"
