Date,Open,High,Low,Close,Volume
08/06/2021,"100.01","100.03","100.01","100.03","23,055"
08/05/2021,"100.03","100.03","100.01","100.03","9,101"
08/04/2021,"100.03","100.03","100.01","100.03","25,790"
08/03/2021,"100.03","100.03","100.02","100.02","7,676"
08/02/2021,"100.01","100.03","100.01","100.02","9,508"
07/30/2021,"100.03","100.03","100.03","100.03","8,065"
07/29/2021,"100.02","100.03","100.01","100.03","36,758"
07/28/2021,"100.03","100.03","100.01","100.03","10,416"
07/27/2021,"100.03","100.03","100.02","100.03","21,650"
07/26/2021,"100.03","100.03","100.02","100.02","32,373"
07/23/2021,"100.02","100.03","100.02","100.03","16,633"
07/22/2021,"100.02","100.03","100.02","100.03","55,624"
07/21/2021,"100.03","100.03","100.01","100.03","27,179"
07/20/2021,"100.02","100.03","100.02","100.02","211,176"
07/19/2021,"100.03","100.03","100.02","100.03","33,291"
07/16/2021,"100.02","100.03","100.02","100.03","14,125"
07/15/2021,"100.01","100.03","100.01","100.02","8,398"
07/14/2021,"100.03","100.03","100.01","100.02","12,482"
07/13/2021,"100.02","100.03","100.02","100.03","15,238"
07/12/2021,"100.03","100.03","100.01","100.02","7,983"
07/09/2021,"100.02","100.03","100.02","100.02","10,514"
07/08/2021,"100.02","100.03","100.02","100.02","33,701"
07/07/2021,"100.03","100.03","100.01","100.02","11,660"
07/06/2021,"100.03","100.03","100.02","100.03","22,709"
07/02/2021,"100.03","100.03","100.02","100.02","4,765"
07/01/2021,"100.02","100.03","100.02","100.02","19,300"
