Date,Open,High,Low,Close,Volume
08/06/2021,"86.21","86.22","86.21","86.21","2,313,651"
08/05/2021,"86.24","86.25","86.22","86.24","1,399,990"
08/04/2021,"86.32","86.34","86.26","86.28","1,878,733"
08/03/2021,"86.31","86.32","86.30","86.31","1,221,668"
08/02/2021,"86.29","86.32","86.29","86.31","3,399,904"
07/30/2021,"86.28","86.29","86.27","86.29","2,019,256"
07/29/2021,"86.25","86.27","86.25","86.27","1,197,552"
07/28/2021,"86.26","86.28","86.23","86.27","2,438,484"
07/27/2021,"86.27","86.27","86.26","86.26","1,387,036"
07/26/2021,"86.26","86.26","86.24","86.24","2,259,181"
07/23/2021,"86.24","86.26","86.24","86.26","1,386,845"
07/22/2021,"86.24","86.26","86.23","86.25","2,295,730"
07/21/2021,"86.25","86.26","86.23","86.24","2,789,486"
07/20/2021,"86.28","86.29","86.25","86.27","2,405,339"
07/19/2021,"86.24","86.28","86.23","86.23","9,352,529"
07/16/2021,"86.17","86.21","86.16","86.19","1,851,597"
07/15/2021,"86.20","86.20","86.18","86.20","1,396,395"
07/14/2021,"86.17","86.19","86.17","86.19","1,695,972"
07/13/2021,"86.16","86.16","86.13","86.13","2,683,316"
07/12/2021,"86.21","86.22","86.18","86.20","1,270,986"
07/09/2021,"86.23","86.24","86.21","86.22","1,258,041"
07/08/2021,"86.23","86.26","86.23","86.25","1,440,827"
07/07/2021,"86.19","86.21","86.18","86.21","1,722,987"
07/06/2021,"86.17","86.21","86.16","86.20","3,158,587"
07/02/2021,"86.16","86.17","86.14","86.17","1,863,438"
07/01/2021,"86.14","86.14","86.12","86.13","2,227,140"
