Date,Open,High,Low,Close,Volume
08/06/2021,"150.80","151.11","150.26","150.26","56,003"
08/05/2021,"152.86","152.86","152.24","152.36","67,836"
08/04/2021,"153.51","153.64","152.12","153.14","111,753"
08/03/2021,"152.73","153.10","152.53","152.73","172,267"
08/02/2021,"151.68","153.11","151.51","152.60","249,872"
07/30/2021,"151.34","151.76","151.30","151.65","56,149"
07/29/2021,"150.95","151.19","150.73","151.00","61,509"
07/28/2021,"151.02","151.76","150.62","151.76","158,070"
07/27/2021,"151.56","151.78","151.32","151.71","148,166"
07/26/2021,"151.13","151.14","150.30","150.46","257,382"
07/23/2021,"150.18","150.84","150.18","150.77","1,035,918"
07/22/2021,"150.34","151.69","150.34","151.49","161,784"
07/21/2021,"150.77","150.77","149.87","150.45","155,278"
07/20/2021,"153.93","153.98","151.88","152.02","150,877"
07/19/2021,"152.49","153.30","152.43","152.93","107,953"
07/16/2021,"149.68","150.40","149.68","150.37","86,202"
07/15/2021,"150.20","150.71","149.46","150.56","35,767"
07/14/2021,"148.75","149.36","148.47","149.31","90,614"
07/13/2021,"149.26","149.57","147.67","147.96","80,878"
07/12/2021,"149.47","149.49","148.78","148.85","178,501"
07/09/2021,"149.26","149.33","149.01","149.01","38,482"
07/08/2021,"150.80","151.31","150.32","150.71","227,283"
07/07/2021,"149.63","150.41","149.51","150.08","37,275"
07/06/2021,"148.15","149.16","148.10","148.96","85,990"
07/02/2021,"146.97","147.50","146.81","147.40","32,288"
07/01/2021,"146.74","146.96","146.34","146.76","130,967"
