Date,Open,High,Low,Close,Volume
08/06/2021,"148.32","148.76","147.69","147.78","21,144,289"
08/05/2021,"150.76","150.92","150.00","150.29","15,345,360"
08/04/2021,"151.50","151.82","149.72","151.06","18,267,910"
08/03/2021,"150.75","151.23","150.39","150.75","13,361,940"
08/02/2021,"149.45","151.23","149.18","150.67","21,232,711"
07/30/2021,"149.13","149.72","149.06","149.52","14,342,160"
07/29/2021,"148.78","149.22","148.53","148.82","11,532,030"
07/28/2021,"148.67","149.67","148.27","149.65","14,346,870"
07/27/2021,"149.33","149.69","148.99","149.64","13,036,600"
07/26/2021,"149.00","149.06","147.88","148.06","10,737,870"
07/23/2021,"147.94","148.66","147.89","148.50","12,639,260"
07/22/2021,"148.11","149.81","148.06","149.50","18,136,910"
07/21/2021,"148.18","148.50","146.67","148.10","19,988,910"
07/20/2021,"152.53","152.71","149.76","150.00","25,674,789"
07/19/2021,"150.95","151.95","150.62","151.46","40,203,887"
07/16/2021,"147.34","148.34","147.32","148.21","12,787,920"
07/15/2021,"147.95","148.60","147.03","148.49","18,462,699"
07/14/2021,"146.01","146.92","145.81","146.87","16,038,560"
07/13/2021,"146.82","147.46","144.64","145.22","23,340,381"
07/12/2021,"147.09","147.23","146.17","146.34","10,610,430"
07/09/2021,"146.87","146.99","146.49","146.53","14,483,630"
07/08/2021,"148.88","149.44","148.17","148.62","17,487,840"
07/07/2021,"147.57","148.56","147.22","148.04","20,964,391"
07/06/2021,"145.72","146.99","145.72","146.74","20,037,180"
07/02/2021,"144.23","145.04","144.11","145.04","9,650,170"
07/01/2021,"143.98","144.31","143.53","144.17","10,810,000"
