Date,Open,High,Low,Close
08/06/2021,"17.46","17.50","16.14","16.15"
08/05/2021,"17.73","17.84","17.23","17.28"
08/04/2021,"18.23","18.90","17.67","17.97"
08/03/2021,"19.17","20.44","17.70","18.04"
08/02/2021,"18.16","19.87","17.99","19.46"
07/30/2021,"19.69","19.72","17.53","18.24"
07/29/2021,"17.91","18.01","17.19","17.70"
07/28/2021,"19.41","19.62","17.52","18.31"
07/27/2021,"18.62","20.44","18.25","19.36"
07/26/2021,"18.67","19.39","17.53","17.58"
07/23/2021,"16.98","17.48","16.33","17.20"
07/22/2021,"17.59","18.45","17.40","17.69"
07/21/2021,"19.73","19.82","17.81","17.91"
07/20/2021,"20.89","22.97","19.37","19.73"
07/19/2021,"19.61","25.09","19.27","22.50"
07/16/2021,"16.80","18.70","16.03","18.45"
07/15/2021,"16.70","18.09","16.56","17.01"
07/14/2021,"17.34","17.51","15.95","16.33"
07/13/2021,"16.39","17.23","15.94","17.12"
07/12/2021,"16.85","17.52","16.14","16.17"
07/09/2021,"17.88","18.13","16.08","16.18"
07/08/2021,"17.74","21.29","17.74","19.00"
07/07/2021,"16.43","17.64","16.08","16.20"
07/06/2021,"15.77","17.94","15.73","16.44"
07/02/2021,"15.53","15.54","14.25","15.07"
07/01/2021,"15.62","16.01","15.31","15.48"
